gene,normal_n,normal_mean,normal_sd,normal_sd_used
CTD-2588J6.1,113,0.2614530973451328,0.5316467706688739,0.5316467706688739
RP11-433M22.1,113,0.0,0.0,1e-08
CTD-2588J6.2,113,0.04104690265486726,0.222991526532959,0.222991526532959
RP3-415N12.1,113,0.5373982300884953,0.628614224474061,0.628614224474061
RP11-16E12.2,113,2.8004336283185842,1.1226157016897937,1.1226157016897937
RP11-433M22.2,113,0.031399115044247784,0.14769535519317606,0.14769535519317606
PSMA2P3,113,0.04829115044247788,0.19129999372597356,0.19129999372597356
RP11-181G12.4,113,0.15943097345132742,0.35410497587974377,0.35410497587974377
RP11-181G12.2,113,5.197490265486725,1.013035535528581,1.013035535528581
AC007272.3,113,0.36440442477876106,0.5260463768578266,0.5260463768578266
OR10V3P,113,0.5161814159292035,0.6947058797676119,0.6947058797676119
IGHV7-34-1,113,0.04250530973451328,0.20721123058053065,0.20721123058053065
CPHL1P,113,6.737895575221237,2.986144585994186,2.986144585994186
CTD-2333K2.1,113,0.013417699115044248,0.10103483684043316,0.10103483684043316
AC016683.5,113,0.13655221238938053,0.34766455998186396,0.34766455998186396
RP11-654A16.3,113,0.5127194690265486,0.6569712754454564,0.6569712754454564
RP1-20N18.4,113,0.024856637168141592,0.20190784402265335,0.20190784402265335
TCOF1,113,10.559376106194692,0.4004617959918132,0.4004617959918132
NSRP1,113,10.577369911504427,0.3157088254696983,0.3157088254696983
RP5-1000K24.2,113,4.596706194690266,0.5950918368926624,0.5950918368926624
RP11-285A1.1,113,1.7686380530973451,0.873702309481098,0.873702309481098
SPPL3,113,11.286359292035401,0.24003977112329303,0.24003977112329303
AF001548.5,113,5.7657699115044245,0.7270000498483177,0.7270000498483177
AP000867.14,113,0.030484070796460178,0.1431325681507305,0.1431325681507305
OPA3,113,9.923434513274339,0.26503707549602223,0.26503707549602223
OPA1,113,11.63598230088496,0.4624389018002596,0.4624389018002596
RP1-68D18.2,113,1.7826176991150444,0.9723212543435581,0.9723212543435581
RP11-476K15.1,113,0.1076274336283186,0.40649803488538094,0.40649803488538094
RP1-278O22.1,113,1.1329663716814162,0.7795299429109529,0.7795299429109529
AC090587.5,113,2.490666371681417,0.6791035125982819,0.6791035125982819
AC090587.4,113,1.9683831858407081,0.8628301779921965,0.8628301779921965
RP11-489D6.2,113,1.9965380530973447,0.9647189356897266,0.9647189356897266
RP11-666A8.7,113,2.1809920353982304,0.8596946372468534,0.8596946372468534
RP11-666A8.8,113,3.350953097345133,0.8174018286478982,0.8174018286478982
AL359853.1,113,0.0,0.0,1e-08
RNU6-1209P,113,0.0,0.0,1e-08
RP11-190A12.9,113,0.6541539823008851,0.7523441766803891,0.7523441766803891
RNU4ATAC18P,113,0.025446017699115045,0.16357633377297226,0.16357633377297226
AC092652.1,113,0.1842141592920354,0.39180070299726744,0.39180070299726744
RNF219-AS1,113,1.7780769911504433,1.2137649393672956,1.2137649393672956
RP11-61E11.2,113,1.1090203539823011,0.8039733663365005,0.8039733663365005
RP11-61E11.1,113,0.13068761061946904,0.32311158265393825,0.32311158265393825
ITGA8,113,8.183046017699116,1.0237953586703217,1.0237953586703217
ITGA9,113,10.8752,0.4535090283004296,0.4535090283004296
CTA-113A6.1,113,0.04761681415929204,0.19013215512161108,0.19013215512161108
AC108938.5,113,3.096878761061948,1.363249096529221,1.363249096529221
RP11-146D12.2,113,4.122783185840708,0.9324097845006867,0.9324097845006867
ITGA1,113,12.067371681415931,0.8112819288752026,0.8112819288752026
ITGA2,113,11.004079646017702,1.4730411135979449,1.4730411135979449
ITGA3,113,11.918355752212383,0.9071817461372623,0.9071817461372623
ITGA4,113,8.15072389380531,1.0064113000510364,1.0064113000510364
ITGA5,113,11.65321061946903,0.6719272600091195,0.6719272600091195
ITGA6,113,13.098842477876106,0.5221403575677216,0.5221403575677216
ITGA7,113,11.738368141592918,1.5927771869254863,1.5927771869254863
TRHR,113,0.3918398230088495,0.6399160824642532,0.6399160824642532
AC010468.3,113,0.0,0.0,1e-08
AC010468.2,113,0.0,0.0,1e-08
AC010468.1,113,3.7400584070796445,0.8312793285616265,0.8312793285616265
RP11-428L21.2,113,0.0055849557522123896,0.05936889400368882,0.05936889400368882
CA15P1,113,0.17810353982300886,0.4103611599487708,0.4103611599487708
CA15P2,113,0.031239823008849553,0.16919078439728447,0.16919078439728447
UFSP1,113,4.750988495575221,0.5930378385832277,0.5930378385832277
UFSP2,113,10.433904424778763,0.305661402415606,0.305661402415606
RP11-566K19.5,113,0.2434840707964602,0.42656360511450186,0.42656360511450186
RP11-566K19.6,113,2.249056637168141,1.010418219447849,1.010418219447849
RP11-618L22.1,113,0.945987610619469,0.8486072441625353,0.8486072441625353
RP11-566K19.8,113,0.8345442477876105,0.8207398574215623,0.8207398574215623
RP11-566K19.9,113,0.05897964601769912,0.22285903262219853,0.22285903262219853
C9orf40,113,7.89619911504425,0.4270795184605504,0.4270795184605504
RP11-379H18.1,113,9.232083185840706,0.4022029349413976,0.4022029349413976
NUDT19P5,113,1.246225663716814,0.9396322852944314,0.9396322852944314
RP11-1094M14.7,113,1.1276902654867254,0.813657767646092,0.813657767646092
TEX28P2,113,0.0,0.0,1e-08
TEX28P1,113,0.0,0.0,1e-08
AC141002.1,113,0.0,0.0,1e-08
AC003688.1,113,0.08349557522123893,0.26493062481032537,0.26493062481032537
FAM212B,113,9.246579646017704,0.5888609035913702,0.5888609035913702
FAM212A,113,6.315869911504426,0.7287102247029331,0.7287102247029331
CHST9,113,8.333364601769913,2.3780647401571375,2.3780647401571375
CHST8,113,5.864538053097346,1.6180518825735308,1.6180518825735308
CHST1,113,6.962676991150443,1.2331333979519157,1.2331333979519157
RP11-155G15.3,113,0.03628053097345133,0.17451641084232444,0.17451641084232444
CHST3,113,11.124291150442486,0.4658882377776429,0.4658882377776429
CHST2,113,8.890503539823007,0.5602220234184586,0.5602220234184586
CHST5,113,2.464445132743363,1.115945663119013,1.115945663119013
CHST4,113,3.756754867256637,1.4225989974333666,1.4225989974333666
CHST7,113,7.545083185840711,0.6396228712941845,0.6396228712941845
CHST6,113,4.402093805309735,1.2179048621566688,1.2179048621566688
ITGAX,113,8.264532743362834,1.063913090439057,1.063913090439057
RPS4XP3,113,0.62129203539823,0.5729228390364361,0.5729228390364361
RPS4XP1,113,0.8930716814159294,0.6398038042563499,0.6398038042563499
RPS4XP6,113,2.716628318584072,0.7902139466703471,0.7902139466703471
RPS4XP7,113,0.6202398230088494,0.6160638882308485,0.6160638882308485
RPS4XP4,113,0.03279823008849558,0.1568801288190063,0.1568801288190063
BCL2A1,113,5.721337168141593,1.0761179004872337,1.0761179004872337
RPS4XP8,113,0.06728938053097346,0.2856365292649133,0.2856365292649133
RPS4XP9,113,0.11478141592920352,0.3205704495640413,0.3205704495640413
RNU4-76P,113,0.0,0.0,1e-08
ITGAV,113,12.442777876106199,0.6108923247615667,0.6108923247615667
RP11-16L9.1,113,0.048045132743362834,0.21274990011377143,0.21274990011377143
AC004448.5,113,0.3062690265486726,0.4752092358860099,0.4752092358860099
ITGAL,113,8.894446902654868,0.7843236244496178,0.7843236244496178
ITGAM,113,8.914693805309733,0.9666199615415404,0.9666199615415404
AC004448.2,113,0.18730000000000005,0.4231225784906443,0.4231225784906443
RP11-379L18.3,113,0.019971681415929206,0.15291569833748417,0.15291569833748417
ITGAD,113,3.3522566371681415,1.4397338023346604,1.4397338023346604
ITGAE,113,8.801431858407078,0.4172610137777515,0.4172610137777515
CITF22-24E5.1,113,0.10746902654867255,0.39002055625304777,0.39002055625304777
