Tree,unique_gene_count,genes
11,72,ADCK5|AKT3|ANGPT1|BAALC|BAG4|CCND1|CDH1|CEP170|CNBD1|COL14A1|CSMD3|CYP11B2|DENND3|DNAH14|EPPK1|FAM135B|FAM49B|FER1L6|FLG|GATA3|GDF6|GLI4|HMCN1|HORMAD1|HSF1|KCNU1|LYST|MIR30D|MIR548A3|MTBP|MTSS1|MYC|MYEOV|NLRP3|NOV|NUDCD1|OC90|OR14A16|OR2C3|OR2L8|OR2T1|OR2T2|OXR1|PCNXL2|PIK3CA|PLD5|PLEKHA6|RAB11FIP1|RAD54B|RIMS2|RNF139|RYR2|SCCPDH|SDC2|SLC26A7|SNORA31|ENSG00000252852.1|SPTA1|STAR|TACC1|TARBP1|TP53|TRAPPC9|TRIQK|TRPS1|TTN|UBR5|USH2A|VPS13B|WHSC1L1|ZFPM2|ZNF670|ZNF695
12,75,ADSS|ASAP1|BAALC|BAI1|BCL9|CA14|CDC42BPA|CDH1|CNBD1|COL14A1|CPQ|CSMD1|CSMD3|CTTN|DENND3|DNAH14|ENPP2|ERBB2|EXO1|FAM135B|FER1L6|FGF4|FLG|FLG2|GATA3|GSDMC|HHLA1|HMCN1|KCNQ3|KCNU1|KHDRBS3|LINC00536|MYEOV|NDUFB9|NOTCH2|OBSCN|OC90|OR14K1|OR2AK2|OR2G2|OR2L3|OR2T1|OR2T2|OR2T33|OR2T34|ORAOV1|PCAT1|PCNXL2|PDE4DIP|PIK3CA|PLD5|PLEKHA6|POU5F1B|PPFIA1|PVT1|RAB11FIP1|RIMS2|RUNX1T1|RYR2|SIPA1L2|SLC45A4|SPTA1|TACC1|TARS2|TFB2M|TMEM75|TP53|TRAPPC9|TRIM67|TRPS1|TTN|USH2A|ZP4|snoU13|ENSG00000238687.1|snoU13|ENSG00000238901.1
13,72,ADAMTSL4|ADCK5|ADCY8|ASAP1|ASH1L|BAALC|CA14|CCDC166|CDH1|COL22A1|CPSF1|CSMD1|CSMD3|DCAF13|DNAH14|EFR3A|ENPP2|EPPK1|ERBB2|ERLIN2|FER1L6|FLG|FMN2|GATA3|GLI4|GPR137B|GRHL2|HHLA1|HMCN1|INTS8|KCNQ3|KCNU1|MFSD3|MYC|MYEOV|NDUFB9|NLRP3|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L3|OR2T2|OR2T3|OR2T34|OXR1|PDE4DIP|PIK3CA|PLD5|PLEC|PLEKHA6|PVT1|RIMS2|RNF139|RYR2|SHANK2|SHARPIN|SLC52A2|SNX31|SPTA1|TARS2|TG|TMEM74|TP53|TRIB1|TRPS1|TTN|VPS13B|ZFPM2|ZHX1|ZNF251|ZNF670
14,71,ADCY8|ADSS|AHCTF1|AKT3|ANGPT1|ANO1|ASH1L|BAI1|BCL9|CDC42BPA|CDH1|COL14A1|CPQ|CSMD1|CSMD3|DPYS|EFR3A|ERBB2|ERLIN2|ESRP1|EXT1|FER1L6|FGFR1|FLG|GATA3|GDF6|GLI4|INTS8|KCNQ3|KHDRBS3|LINC00536|MIR30D|MYC|MYEOV|NDRG1|NDUFB9|NECAB1|NOTCH2|NSMCE2|OBSCN|OR13G1|OR2C3|OR2T1|OR2T2|OR2T27|OR2T33|OR2T34|ORAOV1|PDE4DIP|PIK3CA|PLD5|PLEKHA6|POU5F1B|PPFIA1|PVT1|RAD21|RECQL4|RN7SL350P|RYR2|SLC26A7|SLC52A2|TARBP1|TCHH|TG|TP53|TRPS1|TTN|ZFAT|ZFPM2|ZNF251|ZNF703
15,63,ABRA|ACTN2|ADCY8|ANO1|ARHGAP39|ATP6V1C1|CA14|CCND1|CDC42BPA|CDH1|CNBD1|COL22A1|CPSF1|CSMD1|DENND3|ECM1|ERLIN2|FGFR1|FLG2|FMN2|GATA3|GLI4|HEATR1|HMCN1|INTS8|IRF2BP2|KCNU1|KHDRBS3|KIAA0196|MTBP|NDUFB9|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L13|OR2L3|OR2T2|ORAOV1|OXR1|PDE4DIP|PIK3CA|PLD5|PLEKHA6|RAB11FIP1|RN7SL350P|SDCCAG8|SETDB1|SHANK2|SLC26A7|SLC52A2|SNX31|SPTA1|TACC1|TG|TMEM74|TP53|TRIM67|TTN|UBR5|USH2A|ZNF496|ZP4
16,65,ADSS|AHCTF1|ANKRD46|ASH1L|BAALC|BCL9|C1orf101|C8orf86|CA14|CDH1|CNBD1|COL14A1|COL22A1|CSMD3|EFR3A|EIF3H|ERBB2|FAM135B|FER1L6|FLG|FMN2|GATA3|GRHL2|HHLA1|HMCN1|HSF1|INTS8|KCNK9|KCNU1|LRRC6|MIR2053|MYC|MYEOV|NCALD|NOTCH2|OC90|OR2C3|OR2T2|OR2T33|OR2T34|OXR1|PCAT1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|RAD54B|RGS22|RIMS2|RYR2|SHANK2|SLC26A7|SLC52A2|SPTA1|TACC1|TAF2|TMEM71|TMEM75|TP53|TRPS1|TTN|WISP1|ZNF670
17,60,ADAMTSL4|AHCTF1|ANO1|ARC|ATP6V1C1|CA14|CDC42BPA|COL22A1|CSMD1|CSMD3|DENND3|DNAH14|EFR3A|ERBB2|FGF19|FMN2|GATA3|GPR137B|GSDMC|HMCN1|KCNQ3|KHDRBS3|LRRC6|MAPK15|MIR1208|MYEOV|NDUFB9|NOTCH2|NSMCE2|OBSCN|OR14K1|OR2AK2|OR2L3|OR2T1|OR2T2|OR2T3|OR2T33|OR2T34|OR2T8|PIK3CA|PLEC|PPFIA1|RAD54B|RIMS2|RYR2|SNX31|SPTA1|TARBP1|TBC1D31|TCHH|TFB2M|TMEM75|TP53|TRPS1|TTN|USH2A|VPS13B|ZFPM2|ZNF670|ZP4
18,70,ABRA|ADCK5|ADCY8|ADSS|AHCTF1|ANO1|ATAD2|BAI1|CA14|CASC8|CDC42BPA|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|CYP11B1|CYP11B2|DNAH14|ENPP2|FLG|GATA3|GDF6|GPR137B|HHLA1|HMCN1|HSF1|INTS8|KCNU1|KMO|LINC00536|MATN2|MIR1208|MYC|MYEOV|NDUFB9|NLRP3|NOTCH2|OBSCN|OR2AK2|OR2T2|OR2T3|OR2T34|OXR1|PKHD1L1|PLEC|PLEKHA6|RAD54B|RIMS2|RYR2|SLC26A7|SLC52A2|SNX31|TAF2|TBC1D31|TCHH|TFB2M|TG|TP53|TRAPPC9|TRIM67|TRIQK|TRPS1|TTN|USH2A|VPS13B|ZFPM2|ZNF670|ZP4|snoU13|ENSG00000238372.1
19,56,ADCK5|ANO1|ASH1L|BAALC|CA14|CDH1|COL14A1|COL22A1|CSMD1|CSMD3|CYP11B1|DNAH14|FLG|GATA3|GLI4|GOT1L1|HSF1|KCNK9|KCNQ3|KCNU1|MIR30D|MYC|MYEOV|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L2|OR2T2|OXR1|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PPFIA1|RAB11FIP1|RYR2|SHANK2|SIPA1L2|SLC26A7|SLC45A4|SPTA1|TAF2|TARBP1|TCHH|TP53|TRPS1|TSNARE1|TTN|USH2A|VPS13B|WHSC1L1|ZFPM2|ZNF250|ZNF496|ZNF670
20,67,ADCY8|AHCTF1|AKT3|ANO1|ARID4B|CDH1|COL14A1|COL22A1|CSMD1|CSMD3|CYP11B1|DENND3|DESI2|DNAH14|EFR3A|ERBB2|ERLIN2|FAM135B|FER1L6|FLG|FLG2|GATA3|GRHL2|HHLA1|HMCN1|MAPK15|MYC|MYEOV|NDUFAF6|NDUFB9|NECAB1|NOTCH2|OBSCN|OR2B11|OR2L2|OR2L3|OR2T1|OR2T2|OR2T3|OR2T34|OXR1|PDE4DIP|PHF20L1|PIK3CA|PLD5|PLEC|PPFIA1|RAD54B|RIMS2|RYR2|SHANK2|SLC26A7|SLC52A2|SPTA1|TARBP1|TCHH|TG|TMEM71|TMEM75|TP53|TRAPPC9|TRPS1|TTN|UBR5|USH2A|ZFPM2|ZP4
21,52,ACTN2|AHCTF1|AKT3|ANO1|ARC|ASH1L|BAALC|BCL9|CDC42BPA|CDH1|CDH17|CNBD1|EMC2|ERBB2|ERLIN2|EXO1|FAM135B|FAM49B|FER1L6|FLG|FMN2|GATA3|GLI4|HMCN1|INTS8|KIAA1429|KIF26B|LY6D|MIR1208|MYC|NOTCH2|OR2AK2|OR2C3|OR2T2|OR2T3|OR2T33|OR2T34|ORAOV1|PDE4DIP|PIK3CA|RAB11FIP1|RGS22|RGS7|RIMS2|RN7SL350P|RYR2|SHARPIN|SLC52A2|TMEM74|TP53|TTN|USH2A
22,69,ADCK5|ADSS|AHCTF1|ANO1|ASH1L|BAALC|BAI1|CASC8|CDC42BPA|CDH1|COL14A1|CSMD1|CSMD3|EFR3A|ENPP2|ERBB2|ERLIN2|FAM135B|FAM91A1|FGFR1|FLG|FLG2|FMN2|GATA3|GPR137B|GSDMC|HSF1|IRF2BP2|KCNU1|MIR30D|MIR548AA1|MIR599|MYC|MYEOV|NDUFB9|NOTCH2|OR2AK2|OR2T1|OR2T2|OR2T27|OR2T34|OXR1|PDE4DIP|PHF20L1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PPAPDC1B|RIMS2|RNF139|RYR2|SHANK2|SLC30A8|SPTA1|TACC1|TAF2|TBC1D31|TCHH|TFB2M|TMEM74|TP53|TRIM67|TRPS1|TTN|USH2A|ZFPM2|snoU13|ENSG00000238372.1
23,61,ADCK5|ADSS|AHCTF1|ANO1|ARHGAP39|ATP6V1C1|BAALC|C8orf86|CA14|CDC42BPA|CDH1|COL14A1|CSMD1|ENPP2|ERBB2|ERLIN2|FAM91A1|FER1L6|FLG|FMN2|GATA3|GPR137B|GRHL2|HMCN1|KCNQ3|MAL2|MAPK15|MYC|MYEOV|NDUFB9|NLRP3|NOTCH2|OBSCN|OR2C3|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PLEKHF2|PPFIA1|PVT1|RIMS2|SLC52A2|SPTA1|TCHH|TMEM74|TP53|TRIM67|TRPS1|TTN|USH2A|VPS13B|ZFAT|ZNF251|ZP4
24,52,ADCY8|ADSS|AKT3|ANO1|ARC|BAALC|CCDC166|CDC42BPA|CDH1|CNBD1|CPSF1|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|EFR3A|ENPP2|EPPK1|ERBB2|ERLIN2|FLG|GATA3|GSDMC|INTS8|IRF2BP2|LINC00536|MYEOV|NOTCH2|OBSCN|OPLAH|OR14K1|OR2T3|OR2T35|PDE4DIP|PIK3CA|PLD5|RECQL4|RIMS2|RYR2|SHANK2|SMYD3|SPTA1|TARBP1|TARS2|TCHH|TG|TP53|TRIM67|TTN|ZHX1|ZP4
25,59,ABRA|ADCY8|AHCTF1|ANO1|ATAD2|CCAT1|CDH1|CNBD1|COL14A1|CPQ|CSMD1|CSMD3|DENND3|ERBB2|ERLIN2|FAM135B|FER1L6|GATA3|GLI4|GPR137B|GRHL2|HHLA1|HMCN1|LINC00536|MAPK15|MATN2|MED30|MYEOV|OBSCN|OR2AK2|OR2C3|OR2L3|OR2T1|OR2T2|OR2T3|OXR1|PCNXL2|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PVT1|RAD54B|RIMS2|RYR2|SCRIB|SHANK2|TAF2|TARBP1|TCHH|TFB2M|TG|TP53|TRAPPC9|TRPS1|TTN|USH2A|ZFPM2|ZNF670
26,63,ACTN2|ADAMTSL4|ADCK5|ADSS|AHCTF1|AKT3|ASH1L|ATAD2|BAI1|CA14|CDC42BPA|CDH1|CEP170|CSMD1|CTTN|CYP11B1|DPY19L4|ENPP2|ERBB2|FLG|GATA3|HHLA1|HMCN1|KCNQ3|KCNU1|LYST|MYC|MYEOV|NDUFB9|NID1|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2C3|OR2T1|OR2T2|OR2T33|OR2T34|OR2T5|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEC|POP1|RGS7|RIMS2|RYR2|SDCCAG8|SHANK2|SPTA1|TACC1|TARS2|TCHH|TMEM75|TP53|TRPS1|TTN|USH2A|ZNF496|ZP4
27,73,ADCK5|ADCY8|ADSS|AHCTF1|ANO1|ARC|BAG4|BCL9|CA14|CDC42BPA|CDH1|COL22A1|CSMD1|CSMD3|DENND3|DNAH14|ENPP2|ERBB2|ERLIN2|ESRP1|FER1L6|FLG|GATA3|GLI4|HEATR1|HMCN1|IRF2BP2|KCNQ3|KIF26B|MAL2|MTBP|MYC|MYEOV|NDUFB9|NOTCH2|OBSCN|OR14A16|OR14K1|OR2AK2|OR2G6|OR2L13|OR2L3|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PLEKHF2|PPFIA1|PVT1|RIMS2|RN7SL563P|RUNX1T1|SDCCAG8|TACC1|TARBP1|TBC1D31|TCHH|TG|TMEM71|TP53|TRIM67|TTN|UBR5|WISP1|ZFAT|ZNF670|ZP4
28,70,ARC|ARHGAP39|C1orf101|CA14|CDC42BPA|CDH1|CEP170|CNBD1|COL14A1|CSMD1|CSMD3|CYP11B1|DENND3|EFR3A|EIF3H|ERBB2|ERLIN2|FER1L6|FLG|FLG2|FMN2|GATA3|HHLA1|HMCN1|HSF1|IRF2BP2|KCNU1|LINC00536|LRP12|LYST|MIR30D|MYC|MYEOV|NOTCH2|OBSCN|OC90|OR2AK2|OR2C3|OR2L13|OR2L2|OR2L8|OR2T1|ORAOV1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PROSC|RGS7|RIMS2|RYR2|SDCCAG8|SHANK2|SLC26A7|SPTA1|TACC1|TBC1D31|TCHH|TMEM74|TMEM75|TP53|TRIM67|TTN|UBR5|ZFPM2|ZNF250|ZNF496|ZNF695|ZP4
29,68,ACTN2|ADCK5|ADCY8|ADSS|AHCTF1|ANO1|ARID4B|ASAP1|AZIN1|BAALC|BAG4|C1orf101|CA14|CCDC166|CDC42BPA|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|CYP11B2|DENND3|DNAH14|EFR3A|EIF3H|ERBB2|GATA3|GSDMC|HMCN1|HSF1|IRF2BP2|KCNQ3|KCNU1|KHDRBS3|LYST|MIR30D|MROH6|MYEOV|NIPAL2|NLRP3|NOTCH2|OR2C3|OR2G2|OR2L13|OR2L2|OR2L3|OR2T2|OR2T3|ORAOV1|PCAT1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|POU5F1B|PVT1|RAB11FIP1|RNF139|SDC2|SHANK2|SNX31|TG|TP53|TRHR|TTN|ZHX1|ZNF703|ZP4
30,48,ADSS|AHCTF1|ASH1L|ATAD2|CDC42BPA|CDH1|CEP170|COL14A1|CSMD1|CSMD3|DNAH14|DPY19L4|ENPP2|ERBB2|ERLIN2|FAM135B|FLG|GLI4|GPR137B|HMCN1|KCNU1|KHDRBS3|KMO|LYST|MYEOV|OBSCN|OR14A16|OR14K1|OR2AK2|OR2C3|OR2L3|OR2T3|PIK3CA|PLD5|POU5F1B|PVT1|RIMS2|RYR2|SLC52A2|TACC1|TP53|TRIM67|TRPS1|TTN|USH2A|ZNF670|ZNF695|ZP4
31,57,ADSS|AHCTF1|ARHGAP39|ARID4B|ASH1L|ATAD2|BAALC|BCL9|CA14|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|DENND3|DNAH14|EIF3H|ERBB2|FER1L6|FLG|GATA3|GPR137B|HHLA1|INTS8|KCNQ3|KCNU1|MIR1208|MIR30D|MTSS1|NDUFB9|NOTCH2|OR2L8|OR2T1|OR2T2|OR2T34|ORAOV1|PDE4DIP|PIK3CA|PLEC|PLEKHA6|PPFIA1|PVT1|RAB11FIP1|RIMS2|RYR2|SHANK2|SNX31|SPTA1|TCHH|TG|TP53|TRIM67|TRPS1|TTN|USH2A|ZFPM2|ZNF670
32,65,ADCK5|ADCY8|ADSS|AHCTF1|ANO1|BAI1|CA14|CDC42BPA|CDH1|CNBD1|COL14A1|COL22A1|CPSF1|CSMD1|CTTN|DENND3|DNAH14|EFR3A|ENPP2|ERBB2|ERLIN2|FADD|FAM49B|FER1L6|FGFR1|FLG|GATA3|GDF6|GLI4|GOT1L1|GPR137B|HMCN1|HSF1|IRF2BP2|KCNU1|KIAA1429|MTBP|MTDH|MYC|MYEOV|NCALD|NDUFB9|NECAB1|NOTCH2|OR2AK2|OR2T33|OXR1|PDE4DIP|PIK3CA|PVT1|RAD21|RECQL4|SHANK2|SLC52A2|SPTA1|STAR|TACC1|TARBP1|TARS2|TCHH|TG|TP53|TRPS1|TTN|ZFAT
33,69,ANO1|BAG4|CCDC166|CDH1|CNBD1|COL22A1|CSMD1|DENND3|DNAH14|DPY19L4|EFR3A|ENPP2|ERBB2|ERLIN2|FAM135B|FAM49B|FLG|GATA3|GDF6|GPR137B|GSDMC|HMCN1|INTS8|IRF2BP2|KCNQ3|KCNU1|LAPTM4B|LINC00536|MAPK15|MIR1208|MYEOV|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2B11|OR2C3|OR2T1|OR2T2|OR2T3|OR2T34|PDE4DIP|PIK3CA|PKHD1L1|PLEC|PPFIA1|RAB11FIP1|RAD54B|RIMS2|RN7SL350P|RYR2|SLC26A7|SPTA1|TACC1|TAF2|TARBP1|TARS2|TBC1D31|TCHH|TG|TMEM74|TMEM75|TP53|TRPS1|TTN|USH2A|ZFPM2|ZNF670|ZP4
34,50,ADCK5|ADCY8|ASH1L|CDC42BPA|CDH1|CSMD1|CSMD3|DERL1|ERBB2|ERLIN2|FAM135B|FAM91A1|FLG|FMN2|GPR137B|GSDMC|HEATR1|HHLA1|HMCN1|KCNU1|KMO|MYEOV|NOTCH2|OBSCN|OPLAH|OR14K1|OR2T2|OR2T34|ORAOV1|PCAT1|PIK3CA|PLEKHA6|RIMS2|SCCPDH|SHANK2|SLC26A7|SNX31|SPTA1|TCHH|TMEM67|TMEM74|TP53|TRIM67|TTN|UBR5|VPS13B|ZFPM2|ZNF496|ZNF670|ZP4
35,77,ADAMTSL4|ADCK5|AGO2|ARHGAP39|ASH1L|BAALC|BAI1|CDH1|COL14A1|COL22A1|CPSF1|CSMD1|CSMD3|CYP11B1|ENPP2|ERBB2|ERLIN2|FAM135B|FAM49B|FAM91A1|FGF4|GATA3|GLI4|GOT1L1|GPR137B|HSF1|KCNU1|LRP12|MYEOV|NDUFB9|NOTCH2|OR14K1|OR2C3|OR2L3|OR2T1|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLEC|PLEKHF2|POU5F1B|PPFIA1|RAB11FIP1|RAD21|RAD54B|RGS7|RIMS2|RN7SKP226|RN7SL350P|RYR2|SDC2|SHANK2|SLC26A7|SLC30A8|SLC52A2|SNX31|SPTA1|TAF2|TARBP1|TCHH|TFB2M|TMEM71|TMEM74|TP53|TRAPPC9|TTN|USH2A|VPS13B|WHSC1L1|ZFPM2|ZHX1|ZNF703|ZP4
36,66,AHCTF1|AKT3|ANO1|ARID4B|ASH1L|BAG4|CDC42BPA|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|DNAH14|EIF3H|ERBB2|ERLIN2|FAM49B|FER1L6|FGF4|FGFR1|FLG|FLG2|GATA3|IRF2BP2|KCNK9|KCNQ3|KCNU1|KHDRBS3|LINC00536|LRRC6|MTBP|MTSS1|MYEOV|NDUFB9|NOTCH2|OBSCN|OR14A16|OR2C3|OR2T1|OR2T2|OR2T27|OR2T34|ORAOV1|OXR1|PIK3CA|PLD5|PLEC|POU5F1B|PPFIA1|PVT1|RGS22|RYR2|SHANK2|SLC52A2|TARS2|TFB2M|TG|TP53|TRAPPC9|TRIM67|TRPS1|TTN|UBR5|WHSC1L1|ZFPM2|snoU13|ENSG00000238901.1
37,63,ADCK5|AGO2|AHCTF1|ANO1|ATP6V1C1|BAI1|CDC42BPA|CDH1|CSMD1|CSMD3|CYP11B1|CYP11B2|DENND3|DESI2|EFR3A|ENPP2|ERBB2|FAM135B|FER1L6|FMN2|GATA3|GRHL2|GSDMC|HHLA1|HMCN1|HSF1|KCNU1|KHDRBS3|MYC|MYEOV|NDUFB9|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L3|OR2T2|OR2T3|OR2T33|OR2T34|OR2T5|ORAOV1|PIK3CA|PKHD1L1|PLEC|PVT1|RAD21|RAD54B|RIMS2|RN7SL350P|RNA5SP276|SPTA1|TACC1|TARBP1|TCHH|TP53|TRAPPC9|TRPS1|TTN|USH2A|VPS13B|WISP1|ZNF670
