Tree,unique_gene_count,genes
1,61,ADAMTSL4|ADCY8|AHCTF1|ARC|ASH1L|BAG4|BAI1|C1orf101|CDC42BPA|CDH1|CEP170|CHRM3|COL22A1|CSMD3|EMC2|ERBB2|ERLIN2|FER1L6|FMN2|GATA3|GSDMC|HEATR1|HHLA1|HMCN1|HSF1|INTS8|KCNQ3|LETM2|MYEOV|NDUFB9|NLRP3|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2C3|OR2T2|OR2T3|ORAOV1|PIK3CA|PKHD1L1|PLD5|PLEC|POU5F1B|PVT1|RAB11FIP1|RAD54B|RGS7|RYR2|SLC26A7|SLC52A2|SNTB1|SPTA1|TARBP1|TCHH|TG|TP53|TRPS1|TTN|VPS13B|ZNF670
2,66,ADRB3|AGO2|AHCTF1|BAG4|BAI1|C1orf101|C8orf86|CCAT1|CDC42BPA|CDH1|CEP170|COL22A1|CSMD1|CSMD3|DNAH14|ENPP2|ERBB2|FAM135B|FER1L6|FLG|FMN2|GATA3|HHLA1|HMCN1|IRF2BP2|KCNQ3|KCNU1|LINC00536|MYC|MYEOV|NDUFB9|NOTCH2|NSMCE2|OBSCN|OR14K1|OR2C3|OR2T2|OR2T34|PCNXL2|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PVT1|RAB11FIP1|RECQL4|RGS22|RN7SL685P|SLC26A7|SPTA1|STAR|TARBP1|TARS2|TCHH|TMEM74|TP53|TRPS1|TTN|UBR5|USH2A|WHSC1L1|ZFAT|ZFPM2|ZNF251|ZP4
3,76,ADCK5|AHCTF1|ANO1|ASH1L|ATP6V1C1|CASC8|CCDC166|CDH1|CNBD1|CSMD1|CSMD3|DNAH14|EBAG9|EFR3A|EMC2|ENPP2|EPPK1|ERBB2|ERLIN2|FAM135B|FAM49B|FGF4|GATA3|GDF6|GRHL2|GSDMC|HSF1|INTS8|KCNQ3|KCNU1|MED30|MIR2053|MRPL13|MYC|MYEOV|NIPAL2|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2B11|OR2C3|OR2T2|OR2T3|ORAOV1|OXR1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|RAD54B|RIMS2|RN7SKP153|RNA5SP276|RUNX1T1|RYR2|SETDB1|SPTA1|TACC1|TARBP1|TBC1D31|TCHH|TFB2M|TG|TP53|TRIQK|TRPS1|TTN|UBR5|USH2A|VPS13B|WHSC1L1|YWHAZ|ZFAT|ZFPM2|ZNF496
4,76,ACTN2|ADSS|AHCTF1|ANO1|ARC|ASH1L|BAG4|CA14|CDH1|COL14A1|CSMD1|DENND3|DNAH14|ENPP2|EPPK1|ERBB2|ERLIN2|FAM135B|FER1L6|FLG|FMN2|GATA3|GLI4|GRHL2|HHLA1|HMCN1|LRRC6|MATN2|MIR2053|MIR30D|MIR599|MYEOV|NCALD|NDUFB9|NID1|NLRP3|NOTCH2|OBSCN|OC90|OR2AK2|OR2B11|OR2L3|OR2T2|OR2T3|OXR1|PCAT1|PCNXL2|PIK3CA|PKHD1L1|PLD5|PLEKHA6|POU5F1B|PPFIA1|PVT1|RAB11FIP1|RAD54B|RIMS2|RNA5SP276|RYR2|SLC26A7|SPTA1|TAF2|TARBP1|TCHH|TG|TMEM74|TP53|TRAPPC9|TRHR|TRIB1|TRIQK|TSPYL5|UBR5|WHSC1L1|ZFPM2|ZNF670
5,1,A0
6,61,ADCK5|AHCTF1|ANO1|BAALC|BAI1|BCL9|CDH1|COL14A1|CSMD1|CSMD3|DCAF13|DENND3|DNAH14|EFR3A|EIF3H|ENPP2|ERBB2|FER1L6|FLG|FLG2|GATA3|GLI4|GOT1L1|GPR137B|HEATR1|KCNS2|LYST|MED30|MTSS1|OR2T2|OR2T3|OR2T34|ORAOV1|PIK3CA|PKHD1L1|PLD5|PLEC|PPFIA1|PVT1|RGS7|RIMS2|RYR2|SHANK2|SLC26A7|SLC52A2|SPTA1|STAR|SYBU|TARBP1|TBC1D31|TCHH|TP53|TRAPPC9|TRIM67|TRIQK|TRPS1|TTN|ZFAT|ZFPM2|ZNF251|ZNF496
7,69,AHCTF1|AKT3|ANO1|ASH1L|ATAD2|BAG4|CA14|CDC42BPA|CDH1|CEP170|COL14A1|COL22A1|CSMD1|DENND3|DNAH14|EFR3A|ERBB2|EXT1|FAM135B|FLG|FLG2|GATA3|GLI4|GPR137B|GRHL2|HHLA1|HSF1|INTS8|KCNQ3|KHDRBS3|LRRC6|LYST|MAL2|MYEOV|NIPAL2|NLRP3|NOTCH2|OBSCN|OR14I1|OR14K1|OR2AK2|OR2C3|OR2T2|OR2T34|OXR1|PCNXL2|PIK3CA|PLEC|POU5F1B|PPFIA1|PVT1|RAB11FIP1|RAD54B|RIMS2|RYR2|SHANK2|SLC26A7|SPTA1|TACC1|TARBP1|TCHH|TP53|TRPS1|TTN|USH2A|WHSC1L1|ZHX1|ZNF670|ZP4
8,69,ADCY8|ADSS|AHCTF1|ANO1|BAG4|BAI1|CDH1|CNBD1|CNST|CSMD1|CSMD3|CYP11B2|DENND3|EFR3A|FER1L6|FGFR1|FLG|FLG2|FMN2|GATA3|GPR137B|HMCN1|HSF1|KCNQ3|KCNU1|KHDRBS3|KIAA1429|MIR599|MYEOV|NLRP3|NOTCH2|OBSCN|OPLAH|OR2G2|OR2L3|OR2T33|OR2T34|ORAOV1|OXR1|PCNXL2|PHF20L1|PIK3CA|PKHD1L1|PLD5|PLEC|PPFIA1|PVT1|RAB11FIP1|RAD54B|RUNX1T1|SETDB1|SLC26A7|SLC52A2|TCHH|TFB2M|TMEM74|TP53|TRIM67|TRPS1|TTN|UBR5|USH2A|VPS13B|WHSC1L1|ZNF251|ZNF496|ZNF623|ZNF670|ZP4
9,56,ADSS|ANXA13|BAALC|BCL9|COL14A1|CSMD1|DNAH14|EFR3A|ERLIN2|FLG|GATA3|GOT1L1|GPR137B|GSDMC|HHLA1|KCNU1|KCNV1|LINC00536|LRRC6|MIR1207|MYC|MYEOV|NDUFB9|NLRP3|NOTCH2|OR14K1|OR2AK2|OR2T2|OR2T3|ORAOV1|PCAT1|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PPFIA1|PVT1|RAD54B|RIMS2|RYR2|SNORA31|ENSG00000252852.1|SPTA1|STAR|TFB2M|TG|TP53|TRIB1|TRIM67|TRIQK|TRPS1|TTN|WISP1|ZFPM2|ZP4|snoU13|ENSG00000238372.1|snoU13|ENSG00000238901.1
10,61,AHCTF1|ANO1|ASH1L|BAG4|CA14|CDH1|CDH17|CNBD1|COL14A1|CSMD1|CSMD3|DCSTAMP|DENND3|DESI2|DNAH14|EFR3A|ENPP2|ERBB2|ERLIN2|ESRP1|FLG|GATA3|GLI4|GPR137B|GPT|IRF2BP2|KCNQ3|KCNU1|LYST|MIR30D|MYEOV|NOTCH2|NSMCE2|OBSCN|OR2T3|ORAOV1|OXR1|PCNXL2|PIK3CA|PLD5|PLEKHA6|PPFIA1|PVT1|RAD54B|RIMS2|RYR2|TAF2|TARBP1|TCHH|TFB2M|TG|TP53|TRIM67|TRIQK|TRPS1|TTN|UBR5|USH2A|WHSC1L1|ZFPM2|ZP4
