,scna_frequency,mutation_frequency,combined_frequency
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.006418485237483954,0.0,0.008985879332477536
0.75,0.01540436456996149,0.0025673940949935813,0.01797175866495507
0.9,0.03337612323491656,0.005134788189987163,0.038510911424903725
0.95,0.06803594351732992,0.007702182284980745,0.07317073170731707
0.99,0.13222079589216945,0.01540436456996149,0.13607188703465983
1.0,0.1951219512195122,0.3465982028241335,0.37997432605905007
