Gene_pair,Number of appearances as partners in the same branch,Rank of number of appearances as partners in the same branch,Branch,Start_gene,Finish_gene
OR2T2_0___PIK3CA,96,1.0,0,OR2T2,PIK3CA
MYEOV_0___PIK3CA,86,2.0,0,MYEOV,PIK3CA
TP53_0___PIK3CA,85,4.0,0,TP53,PIK3CA
CSMD1_0___PIK3CA,85,4.0,0,CSMD1,PIK3CA
ZFPM2_0___PIK3CA,85,4.0,0,ZFPM2,PIK3CA
CSMD1_0___TP53,83,6.0,0,CSMD1,TP53
TTN_0___PIK3CA,82,8.0,0,TTN,PIK3CA
MYEOV_0___TP53,82,8.0,0,MYEOV,TP53
OR2T2_0___TP53,81,10.0,0,OR2T2,TP53
GATA3_0___PIK3CA,81,10.0,0,GATA3,PIK3CA
MYEOV_0___CDH1,77,12.0,0,MYEOV,CDH1
OR2T2_0___GATA3,77,12.0,0,OR2T2,GATA3
TTN_0___TP53,77,12.0,0,TTN,TP53
OR2T2_0___OR2T3,75,14.0,0,OR2T2,OR2T3
TTN_0___GATA3,73,16.0,0,TTN,GATA3
CSMD1_0___GATA3,73,16.0,0,CSMD1,GATA3
MYEOV_0___TTN,73,16.0,0,MYEOV,TTN
ZFPM2_0___CDH1,73,16.0,0,ZFPM2,CDH1
ZFPM2_0___TP53,71,20.0,0,ZFPM2,TP53
MYEOV_0___GATA3,71,20.0,0,MYEOV,GATA3
TTN_0___CDH1,71,20.0,0,TTN,CDH1
GATA3_0___TP53,69,22.0,0,GATA3,TP53
TP53_0___GATA3,68,24.0,0,TP53,GATA3
TP53_0___CDH1,68,24.0,0,TP53,CDH1
MYEOV_0___CSMD1,67,26.0,0,MYEOV,CSMD1
CDH1_0___PIK3CA,67,26.0,0,CDH1,PIK3CA
OR2T2_0___TCHH,67,26.0,0,OR2T2,TCHH
NOTCH2_0___PIK3CA,65,29.0,0,NOTCH2,PIK3CA
TCHH_0___PIK3CA,65,29.0,0,TCHH,PIK3CA
MYEOV_0___ERBB2,65,29.0,0,MYEOV,ERBB2
ZFPM2_0___GATA3,64,32.0,0,ZFPM2,GATA3
ERBB2_0___PIK3CA,64,32.0,0,ERBB2,PIK3CA
OR2T2_0___OR2T34,62,33.0,0,OR2T2,OR2T34
AHCTF1_0___PIK3CA,61,34.0,0,AHCTF1,PIK3CA
TRIM67_0___TP53,60,36.0,0,TRIM67,TP53
TTN_0___CSMD1,60,36.0,0,TTN,CSMD1
OR2T2_0___ZP4,60,36.0,0,OR2T2,ZP4
TRIM67_0___PIK3CA,60,36.0,0,TRIM67,PIK3CA
OR2T2_0___OR2C3,59,40.0,0,OR2T2,OR2C3
MYEOV_0___PLD5,59,40.0,0,MYEOV,PLD5
OR2T3_0___PIK3CA,59,40.0,0,OR2T3,PIK3CA
OR2T2_0___NDUFB9,59,40.0,0,OR2T2,NDUFB9
NDUFB9_0___PIK3CA,58,45.0,0,NDUFB9,PIK3CA
TTN_0___ERBB2,58,45.0,0,TTN,ERBB2
ZFPM2_0___TCHH,58,45.0,0,ZFPM2,TCHH
ZFPM2_0___NOTCH2,58,45.0,0,ZFPM2,NOTCH2
PIK3CA_0___GATA3,58,45.0,0,PIK3CA,GATA3
NOTCH2_0___TP53,57,52.0,0,NOTCH2,TP53
CDC42BPA_0___TP53,57,52.0,0,CDC42BPA,TP53
OR2T2_0___CDH1,57,52.0,0,OR2T2,CDH1
ZFPM2_0___ERBB2,57,52.0,0,ZFPM2,ERBB2
GATA3_0___CDH1,57,52.0,0,GATA3,CDH1
OR2T2_0___RIMS2,57,52.0,0,OR2T2,RIMS2
MYEOV_0___TCHH,57,52.0,0,MYEOV,TCHH
OR2T34_0___PIK3CA,57,52.0,0,OR2T34,PIK3CA
ZFPM2_0___RIMS2,57,52.0,0,ZFPM2,RIMS2
OR2T2_0___OR2AK2,57,52.0,0,OR2T2,OR2AK2
ZFPM2_0___OR2T2,56,60.0,0,ZFPM2,OR2T2
CSMD1_0___CSMD3,56,60.0,0,CSMD1,CSMD3
OR2T2_0___ERBB2,56,60.0,0,OR2T2,ERBB2
MYEOV_0___CSMD3,56,60.0,0,MYEOV,CSMD3
MYEOV_1___NOTCH2,55,64.0,1,MYEOV,NOTCH2
CDH1_0___TP53,55,64.0,0,CDH1,TP53
OR2T2_0___TTN,55,64.0,0,OR2T2,TTN
OR2T2_0___ZNF670,55,64.0,0,OR2T2,ZNF670
TCHH_0___TP53,55,64.0,0,TCHH,TP53
OR2C3_0___PIK3CA,55,64.0,0,OR2C3,PIK3CA
MYEOV_1___GATA3,54,70.0,1,MYEOV,GATA3
GATA3_0___TTN,54,70.0,0,GATA3,TTN
CDC42BPA_0___PIK3CA,54,70.0,0,CDC42BPA,PIK3CA
GPR137B_0___PIK3CA,54,70.0,0,GPR137B,PIK3CA
OR2T3_0___TP53,53,76.0,0,OR2T3,TP53
OR2T2_0___EFR3A,53,76.0,0,OR2T2,EFR3A
OR2T2_0___PLD5,53,76.0,0,OR2T2,PLD5
PLEKHA6_0___PIK3CA,53,76.0,0,PLEKHA6,PIK3CA
ZFPM2_0___CSMD1,53,76.0,0,ZFPM2,CSMD1
CDH1_1___PIK3CA,53,76.0,1,CDH1,PIK3CA
TTN_0___NOTCH2,53,76.0,0,TTN,NOTCH2
RIMS2_0___PIK3CA,53,76.0,0,RIMS2,PIK3CA
PIK3CA_0___TP53,52,80.0,0,PIK3CA,TP53
ZFPM2_0___OR2T3,52,80.0,0,ZFPM2,OR2T3
MYEOV_0___RYR2,51,85.0,0,MYEOV,RYR2
ERBB2_0___CDH1,51,85.0,0,ERBB2,CDH1
ZFPM2_0___RAD54B,51,85.0,0,ZFPM2,RAD54B
TTN_0___CSMD3,51,85.0,0,TTN,CSMD3
ZFPM2_0___TTN,51,85.0,0,ZFPM2,TTN
OR2T2_0___RAD54B,51,85.0,0,OR2T2,RAD54B
MYEOV_1___PIK3CA,51,85.0,1,MYEOV,PIK3CA
GPR137B_0___TP53,50,92.0,0,GPR137B,TP53
TTN_1___PIK3CA,50,92.0,1,TTN,PIK3CA
OR2T2_0___AHCTF1,50,92.0,0,OR2T2,AHCTF1
OR2T2_0___CSMD1,50,92.0,0,OR2T2,CSMD1
CSMD1_0___CDH1,50,92.0,0,CSMD1,CDH1
PPFIA1_0___PIK3CA,50,92.0,0,PPFIA1,PIK3CA
CSMD1_0___ERBB2,50,92.0,0,CSMD1,ERBB2
ZNF670_0___PIK3CA,49,99.0,0,ZNF670,PIK3CA
OR2T2_0___TARBP1,49,99.0,0,OR2T2,TARBP1
MYEOV_0___TRPS1,49,99.0,0,MYEOV,TRPS1
MYEOV_0___HMCN1,49,99.0,0,MYEOV,HMCN1
OBSCN_0___PIK3CA,49,99.0,0,OBSCN,PIK3CA
ZFPM2_0___EFR3A,49,99.0,0,ZFPM2,EFR3A
TARBP1_0___PIK3CA,49,99.0,0,TARBP1,PIK3CA
AHCTF1_0___TP53,48,107.0,0,AHCTF1,TP53
MYEOV_0___RIMS2,48,107.0,0,MYEOV,RIMS2
OR2T3_0___OR2T34,48,107.0,0,OR2T3,OR2T34
ERBB2_1___TP53,48,107.0,1,ERBB2,TP53
OR2AK2_0___TCHH,48,107.0,0,OR2AK2,TCHH
MYEOV_1___TP53,48,107.0,1,MYEOV,TP53
OR2T2_0___ADCK5,48,107.0,0,OR2T2,ADCK5
ERBB2_0___TP53,48,107.0,0,ERBB2,TP53
USH2A_0___PIK3CA,48,107.0,0,USH2A,PIK3CA
OR2T2_0___PVT1,47,116.0,0,OR2T2,PVT1
TTN_0___ANO1,47,116.0,0,TTN,ANO1
TTN_0___OR2T2,47,116.0,0,TTN,OR2T2
CSMD1_0___FLG,47,116.0,0,CSMD1,FLG
MYEOV_0___EFR3A,47,116.0,0,MYEOV,EFR3A
TTN_0___PLD5,47,116.0,0,TTN,PLD5
GATA3_1___PIK3CA,47,116.0,1,GATA3,PIK3CA
CDC42BPA_0___GATA3,47,116.0,0,CDC42BPA,GATA3
TRIM67_0___GATA3,46,124.0,0,TRIM67,GATA3
OR2T2_0___TRPS1,46,124.0,0,OR2T2,TRPS1
CDC42BPA_0___OR2T2,46,124.0,0,CDC42BPA,OR2T2
ZFPM2_0___OR2AK2,46,124.0,0,ZFPM2,OR2AK2
ZFPM2_0___ZP4,46,124.0,0,ZFPM2,ZP4
OR2AK2_0___TP53,46,124.0,0,OR2AK2,TP53
ADSS_0___PIK3CA,46,124.0,0,ADSS,PIK3CA
OR2T3_0___GATA3,46,124.0,0,OR2T3,GATA3
TP53_0___NOTCH2,46,124.0,0,TP53,NOTCH2
OR2C3_0___TP53,46,124.0,0,OR2C3,TP53
PVT1_0___PIK3CA,45,136.0,0,PVT1,PIK3CA
MYEOV_0___OXR1,45,136.0,0,MYEOV,OXR1
TRIM67_0___OR2T2,45,136.0,0,TRIM67,OR2T2
PLD5_0___PIK3CA,45,136.0,0,PLD5,PIK3CA
MYEOV_0___DNAH14,45,136.0,0,MYEOV,DNAH14
OR2T2_0___OBSCN,45,136.0,0,OR2T2,OBSCN
MYEOV_0___FLG,45,136.0,0,MYEOV,FLG
CDH1_0___GATA3,45,136.0,0,CDH1,GATA3
OR2T2_0___NOTCH2,45,136.0,0,OR2T2,NOTCH2
TTN_0___RYR2,45,136.0,0,TTN,RYR2
ZFPM2_0___NDUFB9,45,136.0,0,ZFPM2,NDUFB9
ZFPM2_0___RYR2,45,136.0,0,ZFPM2,RYR2
TP53_0___TTN,44,148.0,0,TP53,TTN
PLEKHA6_0___GATA3,44,148.0,0,PLEKHA6,GATA3
TRIM67_0___TTN,44,148.0,0,TRIM67,TTN
TTN_0___ZNF670,44,148.0,0,TTN,ZNF670
EFR3A_0___PIK3CA,44,148.0,0,EFR3A,PIK3CA
TRIM67_0___TCHH,44,148.0,0,TRIM67,TCHH
ZFPM2_0___OR2T34,44,148.0,0,ZFPM2,OR2T34
SPTA1_0___PIK3CA,44,148.0,0,SPTA1,PIK3CA
ZFPM2_0___TRPS1,44,148.0,0,ZFPM2,TRPS1
NOTCH2_0___GATA3,44,148.0,0,NOTCH2,GATA3
CSMD1_0___TCHH,44,148.0,0,CSMD1,TCHH
MYEOV_0___OR2T3,44,148.0,0,MYEOV,OR2T3
RIMS2_0___TP53,43,164.0,0,RIMS2,TP53
PLEKHA6_0___TP53,43,164.0,0,PLEKHA6,TP53
ZFPM2_0___SLC26A7,43,164.0,0,ZFPM2,SLC26A7
NOTCH2_0___CDH1,43,164.0,0,NOTCH2,CDH1
ZFPM2_0___SPTA1,43,164.0,0,ZFPM2,SPTA1
PPFIA1_0___CDH1,43,164.0,0,PPFIA1,CDH1
OR2AK2_0___PIK3CA,43,164.0,0,OR2AK2,PIK3CA
OR2T2_0___HSF1,43,164.0,0,OR2T2,HSF1
OR2T2_0___ANO1,43,164.0,0,OR2T2,ANO1
TTN_0___ZP4,43,164.0,0,TTN,ZP4
TRIM67_0___GPR137B,43,164.0,0,TRIM67,GPR137B
TCHH_0___GATA3,43,164.0,0,TCHH,GATA3
MYEOV_0___RAD54B,43,164.0,0,MYEOV,RAD54B
ZNF670_0___TP53,43,164.0,0,ZNF670,TP53
GATA3_0___ERLIN2,43,164.0,0,GATA3,ERLIN2
COL22A1_0___PIK3CA,43,164.0,0,COL22A1,PIK3CA
CDC42BPA_0___TCHH,43,164.0,0,CDC42BPA,TCHH
DNAH14_0___PIK3CA,43,164.0,0,DNAH14,PIK3CA
RAD54B_0___PIK3CA,43,164.0,0,RAD54B,PIK3CA
ZFPM2_0___DENND3,43,164.0,0,ZFPM2,DENND3
ZFPM2_0___ERLIN2,42,182.0,0,ZFPM2,ERLIN2
TTN_0___FLG,42,182.0,0,TTN,FLG
OR2T2_0___KCNQ3,42,182.0,0,OR2T2,KCNQ3
MYEOV_0___NOTCH2,42,182.0,0,MYEOV,NOTCH2
ZNF670_0___OR2T3,42,182.0,0,ZNF670,OR2T3
OR2T2_0___PLEC,42,182.0,0,OR2T2,PLEC
ZNF670_0___OR2T34,42,182.0,0,ZNF670,OR2T34
TCHH_0___ERBB2,42,182.0,0,TCHH,ERBB2
CSMD3_0___CDH1,42,182.0,0,CSMD3,CDH1
NOTCH2_0___OR2T2,42,182.0,0,NOTCH2,OR2T2
TTN_0___OR2T3,42,182.0,0,TTN,OR2T3
NDUFB9_0___TP53,42,182.0,0,NDUFB9,TP53
TTN_0___ERLIN2,42,182.0,0,TTN,ERLIN2
MYEOV_0___SPTA1,42,182.0,0,MYEOV,SPTA1
OR2T2_0___SPTA1,42,182.0,0,OR2T2,SPTA1
TTN_0___HMCN1,42,182.0,0,TTN,HMCN1
EFR3A_0___TP53,42,182.0,0,EFR3A,TP53
OR2T2_0___CSMD3,41,204.0,0,OR2T2,CSMD3
PPFIA1_0___TP53,41,204.0,0,PPFIA1,TP53
OXR1_0___PIK3CA,41,204.0,0,OXR1,PIK3CA
AHCTF1_0___TCHH,41,204.0,0,AHCTF1,TCHH
DNAH14_0___TP53,41,204.0,0,DNAH14,TP53
CDC42BPA_0___CSMD1,41,204.0,0,CDC42BPA,CSMD1
BAALC_0___PIK3CA,41,204.0,0,BAALC,PIK3CA
OR2T2_0___PDE4DIP,41,204.0,0,OR2T2,PDE4DIP
GATA3_0___ERBB2,41,204.0,0,GATA3,ERBB2
MYEOV_1___ANO1,41,204.0,1,MYEOV,ANO1
MYEOV_0___NDUFB9,41,204.0,0,MYEOV,NDUFB9
TRPS1_0___PIK3CA,41,204.0,0,TRPS1,PIK3CA
NDUFB9_0___GATA3,41,204.0,0,NDUFB9,GATA3
TTN_1___TRPS1,41,204.0,1,TTN,TRPS1
TARBP1_0___TP53,41,204.0,0,TARBP1,TP53
OR2T3_0___TCHH,41,204.0,0,OR2T3,TCHH
CSMD1_0___OR2T2,41,204.0,0,CSMD1,OR2T2
ERBB2_0___GATA3,41,204.0,0,ERBB2,GATA3
PLD5_0___TP53,41,204.0,0,PLD5,TP53
PIK3CA_1___CDH1,41,204.0,1,PIK3CA,CDH1
TTN_0___OXR1,41,204.0,0,TTN,OXR1
OR2T1_0___PIK3CA,41,204.0,0,OR2T1,PIK3CA
MYEOV_0___ZNF670,41,204.0,0,MYEOV,ZNF670
AHCTF1_0___GATA3,41,204.0,0,AHCTF1,GATA3
TTN_0___OR2T34,41,204.0,0,TTN,OR2T34
CDC42BPA_0___OR2T34,41,204.0,0,CDC42BPA,OR2T34
PIK3CA_1___TP53,41,204.0,1,PIK3CA,TP53
ZFPM2_0___AHCTF1,41,204.0,0,ZFPM2,AHCTF1
PLEKHA6_0___TTN,40,229.0,0,PLEKHA6,TTN
TP53_0___ERBB2,40,229.0,0,TP53,ERBB2
CSMD1_0___PLD5,40,229.0,0,CSMD1,PLD5
ADSS_0___TP53,40,229.0,0,ADSS,TP53
MYEOV_0___OR2T2,40,229.0,0,MYEOV,OR2T2
TRIM67_0___ERBB2,40,229.0,0,TRIM67,ERBB2
NOTCH2_0___ZP4,40,229.0,0,NOTCH2,ZP4
ZFPM2_0___CSMD3,40,229.0,0,ZFPM2,CSMD3
ZP4_0___PIK3CA,40,229.0,0,ZP4,PIK3CA
GATA3_0___NOTCH2,40,229.0,0,GATA3,NOTCH2
MYEOV_0___DENND3,40,229.0,0,MYEOV,DENND3
TRIM67_0___OR2T3,40,229.0,0,TRIM67,OR2T3
GATA3_0___CSMD3,40,229.0,0,GATA3,CSMD3
TARBP1_0___GATA3,40,229.0,0,TARBP1,GATA3
ZFPM2_0___ADCK5,40,229.0,0,ZFPM2,ADCK5
ZFPM2_0___ZNF670,40,229.0,0,ZFPM2,ZNF670
GATA3_0___FLG,40,229.0,0,GATA3,FLG
MYEOV_0___AHCTF1,40,229.0,0,MYEOV,AHCTF1
OR2C3_0___TCHH,40,229.0,0,OR2C3,TCHH
OR2T2_0___ENPP2,40,229.0,0,OR2T2,ENPP2
SPTA1_0___GATA3,40,229.0,0,SPTA1,GATA3
MYEOV_0___OR2T34,39,248.0,0,MYEOV,OR2T34
TTN_0___MYEOV,39,248.0,0,TTN,MYEOV
CDC42BPA_0___OR2C3,39,248.0,0,CDC42BPA,OR2C3
CSMD1_0___TTN,39,248.0,0,CSMD1,TTN
NOTCH2_0___OBSCN,39,248.0,0,NOTCH2,OBSCN
COL22A1_0___TP53,39,248.0,0,COL22A1,TP53
ZFPM2_0___ENPP2,39,248.0,0,ZFPM2,ENPP2
ZFPM2_0___PLD5,39,248.0,0,ZFPM2,PLD5
ZFPM2_0___BAALC,39,248.0,0,ZFPM2,BAALC
TTN_1___TP53,39,248.0,1,TTN,TP53
CSMD1_0___NDUFB9,39,248.0,0,CSMD1,NDUFB9
ZNF670_0___GATA3,39,248.0,0,ZNF670,GATA3
RN7SL350P_0___TP53,39,248.0,0,RN7SL350P,TP53
CSMD1_0___OBSCN,39,248.0,0,CSMD1,OBSCN
CSMD1_0___NOTCH2,39,248.0,0,CSMD1,NOTCH2
ZFPM2_0___FLG,39,248.0,0,ZFPM2,FLG
CDC42BPA_0___NOTCH2,38,269.0,0,CDC42BPA,NOTCH2
MYEOV_0___KCNQ3,38,269.0,0,MYEOV,KCNQ3
MYEOV_0___KCNU1,38,269.0,0,MYEOV,KCNU1
TRIM67_0___CSMD1,38,269.0,0,TRIM67,CSMD1
PPFIA1_0___GATA3,38,269.0,0,PPFIA1,GATA3
TRIM67_0___PLD5,38,269.0,0,TRIM67,PLD5
CSMD1_0___ZP4,38,269.0,0,CSMD1,ZP4
ADSS_0___GATA3,38,269.0,0,ADSS,GATA3
NDUFB9_0___ERBB2,38,269.0,0,NDUFB9,ERBB2
MYEOV_0___USH2A,38,269.0,0,MYEOV,USH2A
TRIM67_0___NDUFB9,38,269.0,0,TRIM67,NDUFB9
USH2A_0___TP53,38,269.0,0,USH2A,TP53
ZFPM2_0___OR2C3,38,269.0,0,ZFPM2,OR2C3
DNAH14_0___GATA3,38,269.0,0,DNAH14,GATA3
TRIM67_0___ZP4,38,269.0,0,TRIM67,ZP4
OR2T2_0___ERLIN2,38,269.0,0,OR2T2,ERLIN2
MYEOV_0___TACC1,38,269.0,0,MYEOV,TACC1
ZFPM2_0___OBSCN,38,269.0,0,ZFPM2,OBSCN
OR2T34_0___TP53,38,269.0,0,OR2T34,TP53
CDC42BPA_0___OR2T3,38,269.0,0,CDC42BPA,OR2T3
TTN_0___DNAH14,38,269.0,0,TTN,DNAH14
OR2T3_0___TTN,38,269.0,0,OR2T3,TTN
OR2T2_0___GPR137B,38,269.0,0,OR2T2,GPR137B
TRIM67_0___NOTCH2,38,269.0,0,TRIM67,NOTCH2
SPTA1_0___TP53,38,269.0,0,SPTA1,TP53
NOTCH2_1___CDH1,38,269.0,1,NOTCH2,CDH1
GATA3_0___TCHH,38,269.0,0,GATA3,TCHH
PIK3CA_0___ERLIN2,37,295.0,0,PIK3CA,ERLIN2
ADCK5_0___PIK3CA,37,295.0,0,ADCK5,PIK3CA
BAALC_0___TP53,37,295.0,0,BAALC,TP53
MYEOV_0___ZFPM2,37,295.0,0,MYEOV,ZFPM2
ADCK5_0___TP53,37,295.0,0,ADCK5,TP53
TRIM67_0___RIMS2,37,295.0,0,TRIM67,RIMS2
OR2AK2_0___OR2T3,37,295.0,0,OR2AK2,OR2T3
TTN_0___ORAOV1,37,295.0,0,TTN,ORAOV1
ZFPM2_0___TARBP1,37,295.0,0,ZFPM2,TARBP1
TRIM67_0___EFR3A,37,295.0,0,TRIM67,EFR3A
PIK3CA_0___TTN,37,295.0,0,PIK3CA,TTN
OR2C3_0___GATA3,37,295.0,0,OR2C3,GATA3
RN7SL350P_0___PIK3CA,37,295.0,0,RN7SL350P,PIK3CA
CSMD1_0___HMCN1,37,295.0,0,CSMD1,HMCN1
OR2T2_0___SLC52A2,37,295.0,0,OR2T2,SLC52A2
GATA3_1___TP53,37,295.0,1,GATA3,TP53
OR2T2_0___OXR1,37,295.0,0,OR2T2,OXR1
OR2T34_0___TCHH,37,295.0,0,OR2T34,TCHH
CDH1_1___CSMD3,37,295.0,1,CDH1,CSMD3
OR2T2_0___DENND3,37,295.0,0,OR2T2,DENND3
TTN_0___SPTA1,37,295.0,0,TTN,SPTA1
OR2T2_0___RYR2,37,295.0,0,OR2T2,RYR2
TP53_0___HMCN1,37,295.0,0,TP53,HMCN1
DENND3_0___PIK3CA,37,295.0,0,DENND3,PIK3CA
CDC42BPA_0___ZP4,37,295.0,0,CDC42BPA,ZP4
CDC42BPA_0___NDUFB9,36,320.0,0,CDC42BPA,NDUFB9
GATA3_0___ORAOV1,36,320.0,0,GATA3,ORAOV1
GATA3_0___RYR2,36,320.0,0,GATA3,RYR2
RYR2_0___PIK3CA,36,320.0,0,RYR2,PIK3CA
MYEOV_0___OR2C3,36,320.0,0,MYEOV,OR2C3
TTN_1___OR2AK2,36,320.0,1,TTN,OR2AK2
TRIM67_0___ANO1,36,320.0,0,TRIM67,ANO1
CSMD1_0___ERLIN2,36,320.0,0,CSMD1,ERLIN2
MYEOV_1___DNAH14,36,320.0,1,MYEOV,DNAH14
TP53_0___FLG,36,320.0,0,TP53,FLG
AHCTF1_0___ERBB2,36,320.0,0,AHCTF1,ERBB2
OR2T3_0___ERBB2,36,320.0,0,OR2T3,ERBB2
TTN_0___RAD54B,36,320.0,0,TTN,RAD54B
ZFPM2_0___HSF1,36,320.0,0,ZFPM2,HSF1
OR2T2_0___SLC26A7,36,320.0,0,OR2T2,SLC26A7
TTN_0___AHCTF1,36,320.0,0,TTN,AHCTF1
OR2C3_0___OR2T3,36,320.0,0,OR2C3,OR2T3
TRIM67_0___OR2T34,36,320.0,0,TRIM67,OR2T34
OR2T3_0___KCNQ3,36,320.0,0,OR2T3,KCNQ3
MYEOV_0___BAG4,36,320.0,0,MYEOV,BAG4
ZFPM2_0___PVT1,36,320.0,0,ZFPM2,PVT1
ZFPM2_0___GPR137B,36,320.0,0,ZFPM2,GPR137B
ADSS_0___TCHH,36,320.0,0,ADSS,TCHH
TCHH_0___SPTA1,36,320.0,0,TCHH,SPTA1
CSMD1_0___ZNF670,35,347.0,0,CSMD1,ZNF670
MYEOV_1___OR2T2,35,347.0,1,MYEOV,OR2T2
TTN_0___GPR137B,35,347.0,0,TTN,GPR137B
CSMD1_0___OR2T3,35,347.0,0,CSMD1,OR2T3
TMEM74_0___TP53,35,347.0,0,TMEM74,TP53
TTN_0___OBSCN,35,347.0,0,TTN,OBSCN
PLD5_0___GATA3,35,347.0,0,PLD5,GATA3
GDF6_0___PIK3CA,35,347.0,0,GDF6,PIK3CA
OR2T2_0___DNAH14,35,347.0,0,OR2T2,DNAH14
MYEOV_0___ERLIN2,35,347.0,0,MYEOV,ERLIN2
RIMS2_0___TRPS1,35,347.0,0,RIMS2,TRPS1
CSMD3_0___PIK3CA,35,347.0,0,CSMD3,PIK3CA
ZFPM2_0___OXR1,35,347.0,0,ZFPM2,OXR1
TRIM67_0___PVT1,35,347.0,0,TRIM67,PVT1
OR2T3_0___CDH1,35,347.0,0,OR2T3,CDH1
GATA3_0___SPTA1,35,347.0,0,GATA3,SPTA1
TP53_0___ORAOV1,35,347.0,0,TP53,ORAOV1
CSMD1_0___EFR3A,35,347.0,0,CSMD1,EFR3A
ERBB2_0___CSMD3,35,347.0,0,ERBB2,CSMD3
OR2T3_0___NDUFB9,35,347.0,0,OR2T3,NDUFB9
CDC42BPA_0___ZNF670,35,347.0,0,CDC42BPA,ZNF670
CSMD1_0___SPTA1,35,347.0,0,CSMD1,SPTA1
MYEOV_0___PLEC,35,347.0,0,MYEOV,PLEC
CSMD1_0___KCNQ3,35,347.0,0,CSMD1,KCNQ3
TP53_0___ERLIN2,35,347.0,0,TP53,ERLIN2
RYR2_0___GATA3,35,347.0,0,RYR2,GATA3
GPR137B_0___TCHH,35,347.0,0,GPR137B,TCHH
TP53_0___CSMD3,35,347.0,0,TP53,CSMD3
TRIM67_0___AHCTF1,35,347.0,0,TRIM67,AHCTF1
OBSCN_0___TP53,35,347.0,0,OBSCN,TP53
SHANK2_0___PIK3CA,35,347.0,0,SHANK2,PIK3CA
OR2T3_0___RAD54B,34,382.0,0,OR2T3,RAD54B
GPR137B_0___GATA3,34,382.0,0,GPR137B,GATA3
OR2T2_0___ORAOV1,34,382.0,0,OR2T2,ORAOV1
OR2T2_0___OR14K1,34,382.0,0,OR2T2,OR14K1
ZFPM2_0___KCNQ3,34,382.0,0,ZFPM2,KCNQ3
DNAH14_0___NOTCH2,34,382.0,0,DNAH14,NOTCH2
OR2T2_0___FER1L6,34,382.0,0,OR2T2,FER1L6
AHCTF1_0___NOTCH2,34,382.0,0,AHCTF1,NOTCH2
ZFPM2_0___PDE4DIP,34,382.0,0,ZFPM2,PDE4DIP
MYEOV_0___GPR137B,34,382.0,0,MYEOV,GPR137B
OR2T3_0___PVT1,34,382.0,0,OR2T3,PVT1
NDUFB9_0___TCHH,34,382.0,0,NDUFB9,TCHH
OR2AK2_0___TRPS1,34,382.0,0,OR2AK2,TRPS1
OR2T3_0___RIMS2,34,382.0,0,OR2T3,RIMS2
CDC42BPA_0___AHCTF1,34,382.0,0,CDC42BPA,AHCTF1
CDC42BPA_0___PLD5,34,382.0,0,CDC42BPA,PLD5
TTN_0___EFR3A,34,382.0,0,TTN,EFR3A
TRIM67_0___ADCK5,34,382.0,0,TRIM67,ADCK5
OR2C3_0___RIMS2,34,382.0,0,OR2C3,RIMS2
TTN_0___FER1L6,34,382.0,0,TTN,FER1L6
TTN_0___NDUFB9,34,382.0,0,TTN,NDUFB9
RIMS2_0___CDH1,34,382.0,0,RIMS2,CDH1
OR2T2_0___BAALC,34,382.0,0,OR2T2,BAALC
TCHH_0___TTN,34,382.0,0,TCHH,TTN
CDC42BPA_0___ERBB2,34,382.0,0,CDC42BPA,ERBB2
OR2AK2_0___ERBB2,34,382.0,0,OR2AK2,ERBB2
TTN_0___OR2C3,34,382.0,0,TTN,OR2C3
RIMS2_0___NOTCH2,34,382.0,0,RIMS2,NOTCH2
MYEOV_0___OR2AK2,34,382.0,0,MYEOV,OR2AK2
OR2AK2_0___TTN,34,382.0,0,OR2AK2,TTN
OR2T34_0___GATA3,34,382.0,0,OR2T34,GATA3
TRIM67_0___OR2C3,34,382.0,0,TRIM67,OR2C3
CDC42BPA_0___CSMD3,34,382.0,0,CDC42BPA,CSMD3
CDC42BPA_0___TTN,34,382.0,0,CDC42BPA,TTN
TRPS1_0___TP53,34,382.0,0,TRPS1,TP53
CDH1_0___FLG,34,382.0,0,CDH1,FLG
TRIM67_0___CDH1,34,382.0,0,TRIM67,CDH1
CSMD1_0___RAD54B,34,382.0,0,CSMD1,RAD54B
MYEOV_0___COL14A1,34,382.0,0,MYEOV,COL14A1
COL22A1_0___GATA3,33,420.0,0,COL22A1,GATA3
DNAH14_0___OR2T2,33,420.0,0,DNAH14,OR2T2
CDC42BPA_0___EFR3A,33,420.0,0,CDC42BPA,EFR3A
ZFPM2_0___ANO1,33,420.0,0,ZFPM2,ANO1
TRPS1_0___TCHH,33,420.0,0,TRPS1,TCHH
MYEOV_0___PVT1,33,420.0,0,MYEOV,PVT1
TTN_0___SHANK2,33,420.0,0,TTN,SHANK2
TTN_0___ADCK5,33,420.0,0,TTN,ADCK5
RAD54B_0___TP53,33,420.0,0,RAD54B,TP53
GPR137B_0___EFR3A,33,420.0,0,GPR137B,EFR3A
SLC52A2_0___PIK3CA,33,420.0,0,SLC52A2,PIK3CA
EFR3A_0___GATA3,33,420.0,0,EFR3A,GATA3
ZFPM2_0___ORAOV1,33,420.0,0,ZFPM2,ORAOV1
MYEOV_0___ADCK5,33,420.0,0,MYEOV,ADCK5
TTN_0___USH2A,33,420.0,0,TTN,USH2A
MYEOV_1___OBSCN,33,420.0,1,MYEOV,OBSCN
OR2T2_0___OR2T1,33,420.0,0,OR2T2,OR2T1
