SGA,Number of appearances as the best estimators,Rank of number of appearances as the best estimators
ZHX1,15,179.0
SIPA1L2,14,182.0
AGO2,14,182.0
PHF20L1,14,182.0
NOV,13,188.0
MIR599,13,188.0
PTK2,13,188.0
SCRIB,13,188.0
ZNF703,13,188.0
NCALD,13,188.0
EMC2,13,188.0
OPLAH,13,188.0
RNA5SP276,12,194.0
STAR,12,194.0
OR2T27,12,194.0
ECM1,12,194.0
PARP10,11,199.0
ZNF250,11,199.0
CCND1,11,199.0
NIPAL2,11,199.0
ADAMTSL4,11,199.0
KCNK9,11,199.0
OR2G2,11,199.0
MIR548AA1,10,205.0
RN7SKP226,10,205.0
OR2G6,10,205.0
CASC7,10,205.0
PPAPDC1B,10,205.0
TSNARE1,9,214.0
CCAT1,9,214.0
TSPYL5,9,214.0
CASC8,9,214.0
C8orf86,9,214.0
EXT1,9,214.0
KCNS2,9,214.0
PROSC,9,214.0
FGF19,9,214.0
TRIB1,9,214.0
MAL2,9,214.0
PDP1,9,214.0
TMEM67,8,222.0
HORMAD1,8,222.0
TP53INP1,8,222.0
C1orf101,8,222.0
ARNT,8,222.0
AZIN1,7,230.0
DDHD2,7,230.0
OR2M5,7,230.0
MFSD3,7,230.0
MROH5,7,230.0
DSCC1,7,230.0
KIAA0196,7,230.0
OR2L8,7,230.0
DESI2,7,230.0
SLC45A4,7,230.0
SNTB1,7,230.0
ANXA13,6,240.0
POP1,6,240.0
SCCPDH,6,240.0
NDRG1,6,240.0
KCNV1,6,240.0
RN7SL563P,6,240.0
ASH2L,6,240.0
GEM,6,240.0
GPR124,6,240.0
SLC39A4,5,252.0
snoU13|ENSG00000238901.1,5,252.0
YWHAZ,5,252.0
CNST,5,252.0
OR2M2,5,252.0
OR14I1,5,252.0
NUDCD1,5,252.0
COA6,5,252.0
TRHR,5,252.0
DCSTAMP,5,252.0
FAM84B,5,252.0
LSM1,5,252.0
LETM2,5,252.0
BRF2,5,252.0
ANKRD46,4,263.0
DPYS,4,263.0
MIR1207,4,263.0
SMYD3,4,263.0
MIR3150B,4,263.0
RNF19A,4,263.0
MROH6,4,263.0
OR2W3,4,263.0
MIR548A3,4,263.0
NDUFAF6,3,274.0
SHARPIN,3,274.0
NRBP2,3,274.0
LAPTM4B,3,274.0
LINC00861,3,274.0
LINC00977,3,274.0
OR2T5,3,274.0
RN7SKP155,3,274.0
OR2T8,3,274.0
OSR2,3,274.0
DERL1,3,274.0
RN7SKP153,3,274.0
FAM83A,3,274.0
MTDH,3,274.0
TMEM65,2,290.0
MIR5194,2,290.0
ZNF16,2,290.0
SLC25A32,2,290.0
TRIM58,2,290.0
LRRC24,2,290.0
GPR20,2,290.0
OR11L1,2,290.0
OR2T12,2,290.0
SH3BP5L,2,290.0
OR2T35,2,290.0
OR2T4,2,290.0
snoU13|ENSG00000238687.1,2,290.0
ADRB3,2,290.0
CHRM3,2,290.0
C8orf37,2,290.0
SNORA31|ENSG00000252852.1,2,290.0
GPT,1,318.0
FBXO43,1,318.0
snoU13|ENSG00000238656.1,1,318.0
snoU13|ENSG00000238533.1,1,318.0
FSBP,1,318.0
ZNF7,1,318.0
C8orf47,1,318.0
ZNF34,1,318.0
FADD,1,318.0
EBAG9,1,318.0
COLEC10,1,318.0
COX6C,1,318.0
DGAT1,1,318.0
CTHRC1,1,318.0
WDYHV1,1,318.0
MIR4471,1,318.0
HAS2,1,318.0
KIFC2,1,318.0
SAMD12,1,318.0
RSPO2,1,318.0
RPL8,1,318.0
RN7SL685P,1,318.0
SNORA12|ENSG00000212342.1,1,318.0
SNORA25|ENSG00000251744.1,1,318.0
PUF60,1,318.0
SPAG1,1,318.0
PTDSS1,1,318.0
PGBD2,1,318.0
TATDN1,1,318.0
OR2M7,1,318.0
OR2G3,1,318.0
ODF1,1,318.0
NAPRT1,1,318.0
MTERFD1,1,318.0
TOP1MT,1,318.0
MRPL13,1,318.0
MIR3686,1,318.0
MIR3151,1,318.0
KLHL38,1,318.0
A0,1,318.0
