SGA,Number of appearances as the best estimators,Rank of number of appearances as the best estimators
PIK3CA,196,1.0
TP53,194,2.0
GATA3,187,3.0
TTN,183,4.0
CDH1,180,5.0
MYEOV,164,6.0
CSMD1,163,8.0
NOTCH2,163,8.0
OR2T2,160,9.0
ERBB2,151,10.0
CSMD3,146,11.0
RYR2,143,12.0
FLG,140,13.0
TCHH,139,14.0
RIMS2,136,15.0
AHCTF1,132,16.0
HMCN1,131,17.0
TRPS1,130,18.0
OBSCN,129,19.0
ZFPM2,128,20.0
SPTA1,126,21.0
PLD5,125,22.0
USH2A,124,24.0
DNAH14,124,24.0
ORAOV1,121,25.0
OR2T3,118,26.0
PLEKHA6,117,27.0
ERLIN2,116,28.0
KCNU1,113,29.0
OR2AK2,112,30.0
ZP4,111,31.0
ANO1,109,32.0
OXR1,107,33.0
OR2T34,106,34.0
ZNF670,105,35.0
NDUFB9,104,36.0
PVT1,104,36.0
OR2C3,103,39.0
EFR3A,103,39.0
RAD54B,103,39.0
TARBP1,102,41.0
SHANK2,101,42.0
GPR137B,100,43.0
PKHD1L1,98,44.0
DENND3,96,45.0
COL22A1,95,46.0
TRIM67,94,48.0
SLC26A7,94,48.0
KCNQ3,92,50.0
ENPP2,92,50.0
PDE4DIP,92,50.0
CDC42BPA,90,52.0
FER1L6,89,53.0
CNBD1,85,54.0
ADCK5,85,54.0
COL14A1,83,56.0
TG,83,56.0
HHLA1,82,58.0
BAG4,81,59.0
BAALC,80,60.0
HSF1,80,60.0
FAM135B,79,62.0
TACC1,78,63.0
PLEC,77,64.0
MYC,76,66.0
ADSS,76,66.0
PPFIA1,75,68.0
GLI4,75,68.0
FMN2,75,68.0
OR2T1,74,70.0
ADCY8,73,72.0
BAI1,73,72.0
VPS13B,73,72.0
ASH1L,73,72.0
SLC52A2,71,76.0
CA14,71,76.0
CYP11B1,71,76.0
INTS8,70,78.0
RN7SL350P,70,78.0
OR2L3,69,80.0
GRHL2,66,81.0
TRAPPC9,64,82.0
IRF2BP2,64,82.0
TMEM74,60,84.0
LINC00536,60,84.0
UBR5,58,86.0
BCL9,57,87.0
RAB11FIP1,56,88.0
OR14K1,55,90.0
CEP170,55,90.0
RUNX1T1,54,91.0
TBC1D31,53,92.0
GDF6,52,93.0
OR2T33,51,94.0
EPPK1,50,95.0
TFB2M,49,96.0
ZFAT,48,98.0
MIR30D,48,98.0
NLRP3,45,99.0
FLG2,44,100.0
TAF2,42,102.0
POU5F1B,42,102.0
ARC,41,103.0
FAM49B,40,104.0
ARID4B,40,104.0
PCNXL2,39,108.0
GSDMC,39,108.0
MTSS1,39,108.0
KHDRBS3,39,108.0
PLEKHF2,39,108.0
SNX31,38,112.0
CCDC166,38,112.0
TMEM75,37,113.0
LYST,36,114.0
ABRA,35,115.0
CYP11B2,34,116.0
ATAD2,33,119.0
CPSF1,33,119.0
ACTN2,33,119.0
TARS2,33,119.0
WHSC1L1,33,119.0
TRIQK,32,122.0
FGFR1,32,122.0
PCAT1,31,124.0
RNF139,30,126.0
DPY19L4,30,126.0
ATP6V1C1,30,126.0
OR14A16,30,126.0
EIF3H,29,130.0
SDCCAG8,29,130.0
AKT3,28,132.0
EXO1,28,132.0
RGS7,28,132.0
MTBP,27,134.0
CTTN,27,134.0
KMO,26,137.0
OR2L13,26,137.0
RAD21,26,137.0
ARHGAP39,25,141.0
RECQL4,25,141.0
CDH17,25,141.0
LRP12,25,141.0
ZNF496,25,141.0
ESRP1,24,145.0
OR2L2,24,145.0
LY6D,24,145.0
MAPK15,23,148.0
SETDB1,23,148.0
NSMCE2,23,148.0
ZNF251,22,151.0
FGF4,22,151.0
WISP1,22,151.0
HEATR1,21,154.0
OC90,21,154.0
MATN2,21,154.0
SDC2,20,158.0
TMEM71,20,158.0
KIAA1429,20,158.0
ANGPT1,20,158.0
MIR1208,20,158.0
ZNF695,20,158.0
KIF26B,19,164.0
CPQ,19,164.0
ASAP1,19,164.0
NID1,19,164.0
SYBU,17,168.0
snoU13|ENSG00000238372.1,17,168.0
FAM91A1,17,168.0
NECAB1,17,168.0
MED30,17,168.0
DCAF13,16,174.0
MIR2053,16,174.0
ZNF623,16,174.0
GOT1L1,16,174.0
OR13G1,16,174.0
SLC30A8,16,174.0
LRRC6,16,174.0
OR2B11,15,179.0
RGS22,15,179.0
