Gene_pair,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,beta_total
ZFPM2_0___USH2A,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,7
HMCN1_0___TP53,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,7
ZFPM2_0___NDUFB9,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,7
ZFPM2_0___TTN,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,7
MYEOV_0___DENND3,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,7
ZFPM2_0___TRPS1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,7
TP53_0___TTN,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,7
TP53_0___NOTCH2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,7
MYEOV_1___GATA3,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,7
MYEOV_1___TARBP1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7
CSMD1_0___NOTCH2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,7
SPTA1_0___PIK3CA,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,7
ZFPM2_0___TCHH,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,7
MYEOV_1___PPFIA1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,7
ZFPM2_0___TARBP1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,7
TARBP1_0___OBSCN,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,7
TTN_0___GATA3,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,7
CSMD1_0___FLG,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,7
TRIM67_0___OR2T3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,7
MYEOV_1___NOTCH2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7
CSMD1_0___EFR3A,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,7
ZFPM2_0___OR2T1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,7
TTN_0___HMCN1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,7
OR2T2_0___TARBP1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,7
OR2T2_0___PIK3CA,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,7
TTN_0___OR2L3,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,7
TP53_0___ERBB2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,7
MYEOV_0___PKHD1L1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,7
TTN_0___AHCTF1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,7
OR2T2_0___OR2T3,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,7
MYEOV_0___OBSCN,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,7
MYEOV_0___PLEKHA6,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,7
MYEOV_0___HMCN1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,7
PLEKHA6_0___TP53,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7
TRIM67_0___GPR137B,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,7
GATA3_1___PIK3CA,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,7
CSMD1_0___TTN,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,7
ZFPM2_0___DENND3,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7
MYEOV_0___USH2A,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,7
TTN_0___PLEKHA6,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,6
OR2T3_0___OXR1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
ADCK5_0___TP53,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,6
CSMD1_0___DENND3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,6
INTS8_0___CSMD1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,6
TTN_0___PLEC,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6
PPFIA1_0___TP53,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6
PPFIA1_0___SPTA1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,6
CSMD1_0___COL22A1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,6
TRIM67_0___TCHH,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,6
TTN_1___TRPS1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6
PPFIA1_0___TTN,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6
OR2T3_0___OR2T34,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
TRIM67_0___RAD54B,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,6
PPFIA1_0___CSMD3,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6
MYEOV_0___KCNU1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6
MYEOV_0___GPR137B,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,6
ERBB2_0___GATA3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,6
FLG_0___TTN,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6
ZFPM2_0___RIMS2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,6
OR2T2_0___HSF1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6
MYEOV_0___TACC1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,6
NOTCH2_0___PIK3CA,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,6
MYEOV_0___ZNF670,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,6
ZFPM2_0___ADCK5,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,6
ZFPM2_0___COL22A1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,6
MYEOV_1___CSMD1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,6
ZFPM2_0___KCNU1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,6
ZFPM2_0___OBSCN,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,6
NOTCH2_0___GATA3,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,6
RYR2_0___OBSCN,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,6
RYR2_0___NOTCH2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,6
ZFPM2_0___OXR1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,6
ZFPM2_0___PLEC,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,6
ZFPM2_0___RYR2,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,6
MYEOV_0___PPFIA1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6
MYEOV_0___OR2T34,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,6
MYEOV_0___OR2T1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,6
CSMD1_0___OR2T34,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,6
ZNF670_0___OXR1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6
CSMD1_0___HSF1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,6
PPFIA1_1___TARBP1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,6
ZNF670_0___OR2T3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6
CSMD1_0___NDUFB9,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,6
CSMD1_0___OR2T1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,6
CSMD1_0___OXR1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6
HMCN1_0___GATA3,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6
CSMD1_0___RAD54B,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,6
EFR3A_0___ERBB2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6
ERBB2_0___CSMD3,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,6
EFR3A_0___GATA3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6
TRIM67_0___CSMD1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,6
OR2T2_0___OXR1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6
ADCK5_0___TCHH,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,6
MYEOV_0___OR2T3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6
TP53_0___FLG,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6
TBC1D31_0___CSMD1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,6
MYEOV_0___CNBD1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
COL22A1_0___GATA3,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,6
MYEOV_0___ERLIN2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6
OBSCN_0___GATA3,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,6
TTN_0___MYC,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6
TTN_0___ANO1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,6
MYC_0___PIK3CA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,6
TTN_0___EFR3A,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6
TTN_0___BAI1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,6
TTN_0___NOTCH2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,6
TTN_0___ORAOV1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,6
ADCK5_0___CDH1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,6
TTN_0___KCNU1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,6
EFR3A_0___PIK3CA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,5
CSMD1_0___MYC,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5
TRIM67_0___NDUFB9,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5
TRIM67_0___NOTCH2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,5
GATA3_0___CDH1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5
TTN_0___ERLIN2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5
INTS8_0___PIK3CA,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5
MYEOV_0___TG,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5
KCNU1_0___CDH1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,5
KCNU1_0___CSMD1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5
FMN2_0___TRPS1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5
GATA3_0___NOTCH2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
GATA3_0___OBSCN,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,5
OR2T2_0___CSMD3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5
CSMD1_0___OR2T3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
PLEKHA6_0___GATA3,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5
GPR137B_0___PVT1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5
CSMD1_0___ORAOV1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,5
PPFIA1_1___TP53,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
